timestamp,vehicle_id,weather_condition,temperature_outside_c,road_type,terrain_type,traffic_density,location_type,altitude_m,humidity_percent,road_surface_condition
2024-01-01 20:00:00,VEH_000,clear,-2.5,asphalt,mountain,light,urban,167,79,good
2024-01-08 06:00:00,VEH_000,clear,-4.9,dirt,mountain,light,suburban,55,76,good
2024-01-15 10:00:00,VEH_000,clear,1.5,gravel,mountain,moderate,suburban,321,55,good
2024-01-22 20:00:00,VEH_000,snow,-4.3,concrete,mountain,light,urban,166,32,slippery
2024-01-29 10:00:00,VEH_000,fog,-2.9,concrete,mountain,moderate,highway,116,57,dry
2024-02-05 08:00:00,VEH_000,clear,-8.9,concrete,mountain,heavy,urban,210,32,dry
2024-02-12 17:00:00,VEH_000,fog,-3.8,asphalt,mountain,heavy,highway,367,38,dry
2024-02-19 12:00:00,VEH_000,clear,-6.8,gravel,mountain,light,urban,131,30,good
2024-01-01 20:00:00,VEH_001,snow,4.9,dirt,mixed,light,urban,174,45,wet
2024-01-08 20:00:00,VEH_001,snow,2.1,concrete,mixed,light,highway,352,47,wet
2024-01-15 19:00:00,VEH_001,clear,1.4,asphalt,mixed,moderate,suburban,407,56,good
2024-01-22 10:00:00,VEH_001,snow,-8.7,concrete,mixed,moderate,urban,218,74,slippery
2024-01-29 12:00:00,VEH_001,fog,1.3,concrete,mixed,light,urban,321,66,dry
2024-02-05 12:00:00,VEH_001,clear,-5.9,concrete,mixed,light,urban,119,77,dry
2024-02-12 16:00:00,VEH_001,clear,-7.3,concrete,mixed,light,suburban,151,59,dry
2024-02-19 11:00:00,VEH_001,clear,-3.3,concrete,mixed,light,urban,371,76,dry
2024-01-01 15:00:00,VEH_002,fog,-0.6,gravel,city,moderate,suburban,352,34,dry
2024-01-08 16:00:00,VEH_002,fog,-4.3,concrete,city,moderate,urban,272,41,good
2024-01-15 08:00:00,VEH_002,snow,-8.7,concrete,city,heavy,urban,78,56,wet
2024-01-22 11:00:00,VEH_002,fog,-6.6,concrete,city,moderate,rural,453,58,dry
2024-01-29 17:00:00,VEH_002,clear,-2.0,concrete,city,moderate,urban,217,41,good
2024-02-05 11:00:00,VEH_002,fog,-5.3,concrete,city,light,suburban,207,48,good
2024-02-12 08:00:00,VEH_002,clear,-3.0,asphalt,city,heavy,suburban,461,33,dry
2024-02-19 07:00:00,VEH_002,clear,0.5,asphalt,city,moderate,urban,202,71,dry
2024-01-01 10:00:00,VEH_003,snow,-2.2,concrete,mountain,light,suburban,464,33,wet
2024-01-08 17:00:00,VEH_003,snow,-1.9,asphalt,mountain,moderate,urban,268,64,wet
2024-01-15 20:00:00,VEH_003,fog,-6.1,concrete,mountain,light,urban,218,61,dry
2024-01-22 06:00:00,VEH_003,snow,2.0,concrete,mountain,light,suburban,319,58,wet
2024-01-29 20:00:00,VEH_003,fog,0.8,asphalt,mountain,moderate,highway,84,73,good
2024-02-05 14:00:00,VEH_003,fog,-9.6,asphalt,mountain,light,urban,441,76,dry
2024-02-12 18:00:00,VEH_003,snow,-5.2,asphalt,mountain,heavy,suburban,246,36,slippery
2024-02-19 13:00:00,VEH_003,clear,-0.3,asphalt,mountain,light,suburban,180,50,good
2024-01-01 19:00:00,VEH_004,clear,-8.3,gravel,mountain,moderate,rural,81,35,dry
2024-01-08 18:00:00,VEH_004,clear,0.0,dirt,mountain,moderate,urban,251,63,dry
2024-01-15 08:00:00,VEH_004,snow,-7.4,gravel,mountain,heavy,urban,160,54,slippery
2024-01-22 15:00:00,VEH_004,snow,-2.4,dirt,mountain,light,urban,306,33,wet
2024-01-29 07:00:00,VEH_004,clear,-6.1,concrete,mountain,moderate,urban,176,70,good
2024-02-05 08:00:00,VEH_004,snow,-4.6,gravel,mountain,heavy,highway,193,66,wet
2024-02-12 13:00:00,VEH_004,snow,-3.8,gravel,mountain,light,rural,189,72,wet
2024-02-19 19:00:00,VEH_004,fog,-5.3,concrete,mountain,moderate,urban,282,75,dry
2024-01-01 10:00:00,VEH_005,clear,-3.0,dirt,mixed,light,suburban,210,68,good
2024-01-08 20:00:00,VEH_005,clear,-4.7,asphalt,mixed,light,suburban,33,33,good
2024-01-15 16:00:00,VEH_005,snow,3.9,dirt,mixed,moderate,urban,455,65,wet
2024-01-22 20:00:00,VEH_005,fog,-0.6,gravel,mixed,light,highway,255,45,dry
2024-01-29 13:00:00,VEH_005,fog,0.8,concrete,mixed,light,highway,137,45,dry
2024-02-05 07:00:00,VEH_005,clear,-9.0,dirt,mixed,moderate,suburban,267,66,good
2024-02-12 18:00:00,VEH_005,fog,-5.5,asphalt,mixed,heavy,urban,450,56,dry
2024-02-19 08:00:00,VEH_005,fog,0.8,dirt,mixed,heavy,urban,158,79,good
2024-01-01 20:00:00,VEH_006,snow,-3.1,asphalt,mixed,moderate,rural,484,70,slippery
2024-01-08 15:00:00,VEH_006,snow,-4.7,gravel,mixed,moderate,urban,443,32,wet
2024-01-15 12:00:00,VEH_006,fog,1.8,gravel,mixed,moderate,urban,278,73,dry
2024-01-22 11:00:00,VEH_006,fog,-7.1,asphalt,mixed,light,highway,193,49,good
2024-01-29 11:00:00,VEH_006,fog,2.9,asphalt,mixed,light,urban,188,45,dry
2024-02-05 11:00:00,VEH_006,fog,-5.0,concrete,mixed,moderate,urban,344,74,good
2024-02-12 07:00:00,VEH_006,snow,-5.7,asphalt,mixed,moderate,suburban,104,43,wet
2024-02-19 16:00:00,VEH_006,fog,-7.1,gravel,mixed,moderate,urban,202,76,dry
2024-01-01 19:00:00,VEH_007,snow,2.1,asphalt,mountain,heavy,highway,269,59,wet
2024-01-08 15:00:00,VEH_007,clear,-9.3,concrete,mountain,light,urban,303,35,dry
2024-01-15 20:00:00,VEH_007,fog,-6.7,dirt,mountain,moderate,suburban,20,56,dry
2024-01-22 13:00:00,VEH_007,clear,-8.8,asphalt,mountain,moderate,rural,199,36,good
2024-01-29 19:00:00,VEH_007,clear,2.9,asphalt,mountain,heavy,suburban,106,31,dry
2024-02-05 07:00:00,VEH_007,clear,-8.4,dirt,mountain,heavy,suburban,428,68,dry
2024-02-12 18:00:00,VEH_007,snow,0.3,gravel,mountain,moderate,highway,135,76,slippery
2024-02-19 08:00:00,VEH_007,clear,-8.2,dirt,mountain,heavy,urban,451,69,dry
2024-01-01 09:00:00,VEH_008,fog,-4.5,gravel,city,heavy,urban,39,49,dry
2024-01-08 08:00:00,VEH_008,snow,3.1,gravel,city,heavy,rural,115,44,slippery
2024-01-15 09:00:00,VEH_008,clear,-2.8,asphalt,city,heavy,highway,99,40,dry
2024-01-22 17:00:00,VEH_008,snow,-0.9,concrete,city,heavy,suburban,231,47,slippery
2024-01-29 12:00:00,VEH_008,fog,-3.7,asphalt,city,moderate,urban,356,77,good
2024-02-05 06:00:00,VEH_008,snow,-2.2,dirt,city,light,rural,322,31,slippery
2024-02-12 09:00:00,VEH_008,snow,-2.6,dirt,city,moderate,highway,494,80,wet
2024-02-19 16:00:00,VEH_008,clear,0.4,asphalt,city,light,highway,399,31,dry
2024-01-01 13:00:00,VEH_009,snow,3.1,asphalt,city,light,rural,199,55,wet
2024-01-08 18:00:00,VEH_009,snow,-4.2,dirt,city,heavy,rural,481,77,wet
2024-01-15 18:00:00,VEH_009,snow,4.3,concrete,city,moderate,rural,182,33,slippery
2024-01-22 12:00:00,VEH_009,clear,-1.7,dirt,city,light,highway,320,61,good
2024-01-29 11:00:00,VEH_009,clear,-0.3,concrete,city,light,rural,148,77,dry
2024-02-05 20:00:00,VEH_009,snow,-6.4,asphalt,city,moderate,urban,399,42,slippery
2024-02-12 11:00:00,VEH_009,fog,-6.4,concrete,city,moderate,urban,108,44,good
2024-02-19 15:00:00,VEH_009,clear,0.9,asphalt,city,light,rural,231,74,dry
2024-01-01 08:00:00,VEH_010,clear,2.3,gravel,mountain,heavy,rural,146,66,dry
2024-01-08 14:00:00,VEH_010,snow,0.7,dirt,mountain,moderate,suburban,206,78,slippery
2024-01-15 11:00:00,VEH_010,clear,-1.4,dirt,mountain,moderate,highway,45,63,good
2024-01-22 10:00:00,VEH_010,snow,-2.0,gravel,mountain,moderate,urban,326,66,wet
2024-01-29 12:00:00,VEH_010,snow,-5.0,asphalt,mountain,moderate,urban,395,62,slippery
2024-02-05 20:00:00,VEH_010,clear,-0.7,concrete,mountain,light,urban,455,42,dry
2024-02-12 15:00:00,VEH_010,snow,2.6,concrete,mountain,moderate,suburban,397,57,slippery
2024-02-19 12:00:00,VEH_010,clear,-1.6,asphalt,mountain,moderate,urban,318,74,dry
2024-01-01 06:00:00,VEH_011,clear,-2.9,dirt,highway,light,highway,391,56,dry
2024-01-08 15:00:00,VEH_011,clear,-3.4,concrete,highway,moderate,suburban,266,68,dry
2024-01-15 06:00:00,VEH_011,fog,0.1,gravel,highway,light,urban,460,63,dry
2024-01-22 15:00:00,VEH_011,clear,3.5,asphalt,highway,moderate,urban,459,52,good
2024-01-29 16:00:00,VEH_011,clear,-8.2,concrete,highway,moderate,rural,15,65,dry
2024-02-05 17:00:00,VEH_011,fog,-1.1,gravel,highway,heavy,highway,338,47,dry
2024-02-12 10:00:00,VEH_011,clear,-4.3,dirt,highway,moderate,highway,322,34,dry
2024-02-19 20:00:00,VEH_011,snow,-1.6,dirt,highway,light,suburban,392,42,slippery
2024-01-01 08:00:00,VEH_012,clear,-4.9,asphalt,highway,moderate,urban,431,42,good
2024-01-08 16:00:00,VEH_012,fog,-1.9,concrete,highway,moderate,urban,435,62,good
2024-01-15 19:00:00,VEH_012,clear,3.5,asphalt,highway,heavy,highway,385,44,dry
2024-01-22 06:00:00,VEH_012,snow,0.0,dirt,highway,moderate,highway,32,33,wet
2024-01-29 13:00:00,VEH_012,fog,-2.4,asphalt,highway,light,suburban,416,69,good
2024-02-05 07:00:00,VEH_012,snow,-9.3,asphalt,highway,moderate,urban,313,71,slippery
2024-02-12 06:00:00,VEH_012,snow,-5.6,asphalt,highway,moderate,urban,27,59,slippery
2024-02-19 08:00:00,VEH_012,snow,2.9,concrete,highway,moderate,highway,321,39,wet
2024-01-01 14:00:00,VEH_013,clear,-4.5,gravel,highway,moderate,urban,458,61,good
2024-01-08 07:00:00,VEH_013,fog,-1.0,dirt,highway,heavy,urban,365,58,dry
2024-01-15 06:00:00,VEH_013,clear,-4.0,dirt,highway,light,suburban,176,31,dry
2024-01-22 20:00:00,VEH_013,clear,3.1,dirt,highway,moderate,urban,82,66,dry
2024-01-29 17:00:00,VEH_013,fog,-9.7,gravel,highway,heavy,suburban,101,42,good
2024-02-05 16:00:00,VEH_013,snow,-8.7,concrete,highway,moderate,rural,366,40,wet
2024-02-12 09:00:00,VEH_013,fog,3.7,dirt,highway,heavy,highway,278,35,good
2024-02-19 11:00:00,VEH_013,snow,-6.9,concrete,highway,light,urban,308,40,wet
2024-01-01 10:00:00,VEH_014,fog,-8.3,dirt,mixed,light,rural,67,59,good
2024-01-08 16:00:00,VEH_014,clear,-1.4,gravel,mixed,moderate,urban,97,43,good
2024-01-15 14:00:00,VEH_014,snow,3.4,gravel,mixed,moderate,rural,303,33,wet
2024-01-22 11:00:00,VEH_014,clear,-5.2,concrete,mixed,moderate,rural,261,32,dry
2024-01-29 13:00:00,VEH_014,fog,-5.9,asphalt,mixed,light,highway,104,73,good
2024-02-05 16:00:00,VEH_014,snow,-4.0,asphalt,mixed,light,highway,379,80,slippery
2024-02-12 17:00:00,VEH_014,clear,-2.3,concrete,mixed,heavy,urban,426,40,dry
2024-02-19 09:00:00,VEH_014,fog,3.4,concrete,mixed,heavy,suburban,133,63,good
2024-01-01 07:00:00,VEH_015,snow,-1.4,gravel,highway,moderate,highway,119,78,slippery
2024-01-08 06:00:00,VEH_015,snow,3.1,concrete,highway,light,suburban,278,73,slippery
2024-01-15 10:00:00,VEH_015,fog,-9.6,concrete,highway,moderate,urban,491,77,dry
2024-01-22 16:00:00,VEH_015,fog,1.8,dirt,highway,moderate,urban,232,60,dry
2024-01-29 18:00:00,VEH_015,fog,2.9,dirt,highway,heavy,highway,265,79,dry
2024-02-05 16:00:00,VEH_015,snow,-4.5,asphalt,highway,moderate,urban,276,39,wet
2024-02-12 17:00:00,VEH_015,clear,2.6,concrete,highway,heavy,rural,167,73,dry
2024-02-19 07:00:00,VEH_015,snow,4.9,gravel,highway,heavy,rural,276,58,wet
2024-01-01 07:00:00,VEH_016,clear,-6.0,concrete,mixed,heavy,suburban,37,66,dry
2024-01-08 16:00:00,VEH_016,fog,-1.5,dirt,mixed,light,rural,120,57,good
2024-01-15 15:00:00,VEH_016,clear,3.0,concrete,mixed,light,urban,456,32,good
2024-01-22 15:00:00,VEH_016,snow,4.3,concrete,mixed,moderate,rural,259,48,wet
2024-01-29 14:00:00,VEH_016,fog,3.2,gravel,mixed,light,urban,145,52,good
2024-02-05 13:00:00,VEH_016,clear,-1.8,dirt,mixed,light,highway,46,52,dry
2024-02-12 18:00:00,VEH_016,snow,3.4,dirt,mixed,moderate,urban,199,60,wet
2024-02-19 16:00:00,VEH_016,clear,1.5,concrete,mixed,light,highway,140,54,dry
2024-01-01 18:00:00,VEH_017,clear,-9.0,dirt,city,moderate,highway,196,64,dry
2024-01-08 12:00:00,VEH_017,clear,-1.4,dirt,city,moderate,suburban,428,38,good
2024-01-15 07:00:00,VEH_017,clear,-1.3,dirt,city,heavy,rural,348,63,dry
2024-01-22 17:00:00,VEH_017,fog,-0.3,concrete,city,moderate,urban,356,47,dry
2024-01-29 06:00:00,VEH_017,clear,3.4,gravel,city,moderate,highway,372,69,good
2024-02-05 07:00:00,VEH_017,clear,-3.2,asphalt,city,heavy,urban,85,47,dry
2024-02-12 14:00:00,VEH_017,clear,-4.9,gravel,city,moderate,rural,93,63,good
2024-02-19 08:00:00,VEH_017,fog,-1.1,concrete,city,heavy,rural,423,69,good
2024-01-01 15:00:00,VEH_018,snow,-0.4,concrete,mixed,moderate,highway,425,44,wet
2024-01-08 12:00:00,VEH_018,clear,4.4,asphalt,mixed,moderate,highway,84,46,dry
2024-01-15 13:00:00,VEH_018,clear,0.2,gravel,mixed,light,rural,369,60,dry
2024-01-22 08:00:00,VEH_018,fog,-4.2,concrete,mixed,moderate,suburban,444,74,dry
2024-01-29 20:00:00,VEH_018,fog,-2.1,gravel,mixed,light,urban,114,62,dry
2024-02-05 19:00:00,VEH_018,clear,0.7,gravel,mixed,moderate,urban,487,71,good
2024-02-12 18:00:00,VEH_018,clear,-6.1,dirt,mixed,moderate,urban,312,50,good
2024-02-19 12:00:00,VEH_018,clear,-5.7,gravel,mixed,light,urban,99,49,dry
2024-01-01 19:00:00,VEH_019,clear,3.4,asphalt,city,heavy,highway,306,60,dry
2024-01-08 06:00:00,VEH_019,snow,-7.0,gravel,city,light,rural,406,32,wet
2024-01-15 08:00:00,VEH_019,fog,-6.8,gravel,city,heavy,rural,150,59,dry
2024-01-22 08:00:00,VEH_019,fog,2.4,concrete,city,heavy,suburban,373,41,good
2024-01-29 11:00:00,VEH_019,clear,3.3,dirt,city,moderate,urban,372,63,dry
2024-02-05 12:00:00,VEH_019,snow,2.0,dirt,city,moderate,urban,23,31,slippery
2024-02-12 09:00:00,VEH_019,snow,0.5,asphalt,city,moderate,urban,18,79,slippery
2024-02-19 18:00:00,VEH_019,snow,-3.2,asphalt,city,moderate,urban,309,76,wet
2024-01-01 15:00:00,VEH_020,fog,-9.9,gravel,mountain,light,suburban,432,62,good
2024-01-08 11:00:00,VEH_020,fog,-7.6,concrete,mountain,moderate,urban,285,79,good
2024-01-15 08:00:00,VEH_020,fog,-9.1,gravel,mountain,moderate,highway,275,58,good
2024-01-22 17:00:00,VEH_020,fog,2.9,concrete,mountain,moderate,rural,261,51,good
2024-01-29 14:00:00,VEH_020,clear,-0.5,dirt,mountain,moderate,urban,407,50,good
2024-02-05 16:00:00,VEH_020,snow,-2.5,gravel,mountain,light,urban,415,74,slippery
2024-02-12 10:00:00,VEH_020,fog,-9.6,asphalt,mountain,light,urban,79,49,good
2024-02-19 08:00:00,VEH_020,clear,-6.6,concrete,mountain,heavy,suburban,67,71,dry
2024-01-01 06:00:00,VEH_021,fog,3.0,asphalt,city,light,urban,165,51,good
2024-01-08 10:00:00,VEH_021,snow,-2.2,dirt,city,light,urban,145,49,slippery
2024-01-15 08:00:00,VEH_021,clear,-2.1,dirt,city,moderate,highway,73,61,dry
2024-01-22 10:00:00,VEH_021,fog,-3.3,dirt,city,moderate,highway,76,77,dry
2024-01-29 20:00:00,VEH_021,snow,-4.5,concrete,city,moderate,rural,107,34,wet
2024-02-05 19:00:00,VEH_021,snow,0.6,asphalt,city,heavy,suburban,428,34,wet
2024-02-12 07:00:00,VEH_021,snow,-0.9,asphalt,city,moderate,urban,30,54,wet
2024-02-19 12:00:00,VEH_021,snow,-2.2,dirt,city,moderate,urban,250,40,wet
2024-01-01 15:00:00,VEH_022,clear,-1.7,gravel,highway,light,suburban,392,60,good
2024-01-08 20:00:00,VEH_022,clear,0.6,dirt,highway,light,suburban,460,52,good
2024-01-15 19:00:00,VEH_022,fog,-5.2,gravel,highway,moderate,highway,69,54,dry
2024-01-22 18:00:00,VEH_022,clear,4.1,gravel,highway,heavy,urban,261,79,good
2024-01-29 09:00:00,VEH_022,fog,3.5,concrete,highway,heavy,highway,27,65,dry
2024-02-05 09:00:00,VEH_022,clear,-3.4,asphalt,highway,moderate,suburban,32,59,dry
2024-02-12 17:00:00,VEH_022,snow,-3.4,concrete,highway,heavy,urban,166,41,wet
2024-02-19 14:00:00,VEH_022,snow,-1.4,concrete,highway,moderate,suburban,489,36,slippery
2024-01-01 19:00:00,VEH_023,fog,-0.1,asphalt,city,moderate,suburban,283,65,dry
2024-01-08 17:00:00,VEH_023,snow,3.5,gravel,city,moderate,suburban,404,66,wet
2024-01-15 20:00:00,VEH_023,fog,-1.7,gravel,city,moderate,highway,62,61,good
2024-01-22 15:00:00,VEH_023,clear,1.2,dirt,city,light,suburban,413,55,good
2024-01-29 19:00:00,VEH_023,snow,4.1,gravel,city,moderate,rural,295,79,slippery
2024-02-05 12:00:00,VEH_023,clear,0.7,asphalt,city,light,highway,309,67,good
2024-02-12 10:00:00,VEH_023,snow,-7.2,concrete,city,moderate,urban,82,33,slippery
2024-02-19 09:00:00,VEH_023,snow,0.0,dirt,city,moderate,urban,109,61,slippery
2024-01-01 15:00:00,VEH_024,snow,-1.3,concrete,highway,light,suburban,14,73,wet
2024-01-08 14:00:00,VEH_024,snow,1.9,dirt,highway,light,suburban,88,32,wet
2024-01-15 08:00:00,VEH_024,fog,1.4,dirt,highway,moderate,highway,178,73,dry
2024-01-22 16:00:00,VEH_024,clear,1.1,gravel,highway,moderate,suburban,121,70,good
2024-01-29 11:00:00,VEH_024,snow,2.0,asphalt,highway,light,urban,142,49,wet
2024-02-05 17:00:00,VEH_024,fog,-0.3,gravel,highway,heavy,highway,34,52,dry
